Comune;Provincia;Nome titolare struttura vendita;Indirizzo;Centro commerciale (SI/NO);Settoremercato non alimentare;Superficie alimentare in mq;Superficie non alimentare in mq;Superficie totale in mq;Latitudine;Longitudine;Identificatore PDV
MARMIROLO;MANTOVA;ROSSETTO GROUP S.R.L.;Via Buozzi, 2;NO;;1853;355;2208;45.21289708823627;10.760860560192882;5254
OSTIGLIA;MANTOVA;MAXI DI SRL;Via Provinciale Per Mantova;NO;;1499;1000;2499;45.0650155420869;11.13722443403507;9393
PORTO MANTOVANO;MANTOVA;PORTO MANTOVANO SCARPE SRL;Via Karl Marx, 2;NO;ABBIGLIAMENTO E SCARPE;0;2514;2514;45.21427206373993;10.796586858280085;11025
PORTO MANTOVANO;MANTOVA;SQUASSABIA GROUP;Str.  Cisa, 137;NO;MOBILI E ACCESSORI CASE ARREDO;0;2900;2900;45.21200842874382;10.795925910061635;3040
SAN GIORGIO DI MANTOVA;MANTOVA;MARTINELLI GIAN PAOLO;Via Del Commercio;NO;;3000;1500;4500;45.16848029809003;10.851154966316733;13756
SERMIDE E FELONICA;MANTOVA;RAMBALDI FAUSTO;Via Dei Cipressi 11;SI;;1400;2554;3954;45.0070054561757;11.286981551927022;7787
SERMIDE;MANTOVA;RAMBALDI FAUSTO;Via Dei Cipressi 11;SI;;1400;2554;3954;45.0070054561757;11.286981551927022;7787
SUZZARA;MANTOVA;COOP. CONSUMATORI NORDEST SCRL- LA CITTA' GIARDINO S.R.L.;Via Lenin - Via Pasine;SI;;3040;7684;10724;44.99773987700662;10.734364196794772;2682
VIADANA;MANTOVA;SMA SPA;Via Moro, 1;NO;;1482;2018;3500;44.93790016337815;10.48960441640762;957
BORGO VIRGILIO;MANTOVA;COOP CONSUMATORI NORDEST SCARL;Piazza Commercio 1;SI;;2827;9376;12203;45.11155077282779;10.783305758610695;3080
BARZAGO;LECCO;FIRST ATLANTIC RE SGR SPA;Via Xxv Aprile 1;SI;;1120;1391;2511;45.75203302680013;9.324379032186643;10094
BARZANO';LECCO;PROSERPIO LUIGI DANIELE & C. SAS;Via Papa Giovanni Xxiii, 76;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;1705;1705;45.725017345858944;9.309596416176356;5376
BRIVIO;LECCO;ALBANI MOBILI SAS DI ALBANI;Via Como 84;NO;MOBILI E ACCESSORI CASE ARREDO;0;1657;1657;45.735181754241026;9.420250170312933;6397
CALCO;LECCO;ESSELUNGA SPA;Sp 342 Dir. Via Nazionale Ang. Via Scagnello;NO;;1850;830;2680;45.71711833540193;9.407346938554154;10889
CASATENOVO;LECCO;BENNET S.P.A.;V. Casati, 28;SI;;4500;1327;5827;45.69744436734644;9.303112868485744;5291
CASATENOVO;LECCO;ESSELUNGA SPA;Cascina Levada;NO;;1792;2000;3792;45.68333927186595;9.31759260125622;5292
CERNUSCO LOMBARDONE;LECCO;DE GENNIS PAOLO;Via Spluga 115;SI;;2100;1530;3630;45.688867654917864;9.40242140275267;464
CIVATE;LECCO;SC EVOLUTION SPA;Via Papa Giovanni Xxiii Via Alla Santa;SI;;2000;7487;9487;45.83205693195229;9.351061917669261;10890
COSTA MASNAGA;LECCO;DOSS SPA;Via Paradiso;SI;;0;7000;7000;45.758915395939354;9.280361361107666;13315
LECCO;LECCO;COOP. DI CONSUMO LA POPOLARE S.P.A. A R.L.;Corso Carlo Alberto, 120;SI;;2830;5120;7950;45.84034888945278;9.408531128442082;1612
LECCO;LECCO;ESSELUNGA S.P.A.;Via Buozzi, 15/D/E;NO;;2600;1545;4145;45.84103060982816;9.403307674804235;1613
LECCO;LECCO;GALLERIE COMMERCIALI BENNET S.P.A.;Via Amendola, 119;SI;;4399;11601;16000;45.854065289898635;9.3983206592732;1611
MALGRATE;LECCO;BRICO BUSINESS COOPERATION SRL;Via Provinciale 13;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;2253;2253;45.84824599053128;9.369661465187765;6794
MERATE;LECCO;LA RINASCENTE SPA;Via Bergamo 19;SI;;4300;9222;13522;45.68986062090393;9.41965297082532;4995
PESCATE;LECCO;BENNET SPA;Via Roma 7;SI;;1950;1620;3570;45.84169424013349;9.396804178096676;7207
SIRTORI;LECCO;SILCO IMMOBILIARE SRL;Via Delle Industrie 17;NO;;0;4127;4127;45.74492300289994;9.324994050029131;11541
CASELLE LANDI;LODI;MOBILI LAMBRI;Via Papa Giovanni Xxiii, 2;NO;MOBILI E ACCESSORI CASE ARREDO;0;1850;1850;45.105749797749716;9.787696170692278;4884
CODOGNO;LODI;SMA S.P.A.;Viale  A. Moro 3;SI;;630;4110;4740;45.15450520881797;9.671235655590662;9056
CODOGNO;LODI;SVAL SRL;Viale  Marconi;SI;;1950;1500;3450;45.16086688116077;9.718781294382579;10892
CORNEGLIANO LAUDENSE;LODI;CANTONI SHOES;Via Codognino;SI;;2478;6887;9365;45.28664011117416;9.47278577168677;10014
GUARDAMIGLIO;LODI;DIFOOD S.R.L.;Via Roma, 1/3;SI;;2000;2687;4687;45.11530195533391;9.686312857388419;11153
GUARDAMIGLIO;LODI;PANCOTTI SPA;Via Emilia, 23;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;1596;1596;45.11589032908384;9.686595629129275;218
MONTANASO LOMBARDO;LODI;IL GIGANTE SPA;Via Emilia 2;SI;;3300;6513;9813;45.325577224392724;9.445796090182986;1695
PIEVE FISSIRAGA;LODI;BENNET SPA;Viale Nazioni Unite, 1;SI;;3500;14700;18200;45.27552650584702;9.457262126164643;5534
PIEVE FISSIRAGA;LODI;M.BUSINESS SRL;V.Le Pavia, 1/3;NO;MOBILI E ACCESSORI CASE ARREDO;0;6200;6200;45.2808204975296;9.463137594830433;5536
SAN MARTINO IN STRADA;LODI;BENNET SRL;Via Emilia Km 292,659;SI;;2840;6805;9645;45.281690592690516;9.537397130320109;2064
SAN ROCCO AL PORTO;LODI;AUCHAN SPA;Via Emilia, 100;SI;;3679;11321;15000;45.07303661262937;9.70978507876101;2343
SANT'ANGELO LODIGIANO;LODI;CC IL CASTELLO;Viale Trento;SI;;3583;6417;10000;45.231861041100366;9.406581788997658;2569
ARCORE;MONZA-BRIANZA;ESSELUNGA S.P.A.;V. Gilera;NO;;2086;894;2980;45.632732512858894;9.334402142229063;6705
BOVISIO-MASCIAGO;MONZA-BRIANZA;AUMAI S.P.A.;Via Nazionale Dei Giovi, 41;NO;;0;3427;3427;45.601169843486936;9.143672710874522;6019
BOVISIO-MASCIAGO;MONZA-BRIANZA;E.G. CAVALLINI DI M.GRAZIA CAVALLINI E C. SAS;Via Nazionale Dei Giovi, 27;NO;MOBILI E ACCESSORI CASE ARREDO;0;3000;3000;45.60048905235199;9.144878984334841;6018
BRUGHERIO;MONZA-BRIANZA;BENNET SPA;V.Le Lombardia, 264;SI;;3851;10765;14616;45.556375780093326;9.30213465859158;5559
CESANO MADERNO;MONZA-BRIANZA;RIALTO SRL;Corso Liberta' Angolo Monteverdi;SI;;1900;850;2750;45.62635620408794;9.140903262669717;3010
GIUSSANO;MONZA-BRIANZA;ESSELUNGA SPA;Via Lario Ang. Via Pola;SI;;1497;2435;3932;45.677128652459274;9.207250937432814;2395
GIUSSANO;MONZA-BRIANZA;SSC SOCIETA' SVILUPPO COMMERCIALE SRL;Via Prealpi, 41;SI;;3859;10606;14465;45.68995587684265;9.212003852832824;2396
LIMBIATE;MONZA-BRIANZA;HI TECH SPA;Via Monza N.75;SI;;1490;8517;10007;45.59405467973259;9.12520545802739;11468
LIMBIATE;MONZA-BRIANZA;SVILUPPO COMMERCIALE SRL;Via Monza N. 55;SI;;11800;11630;23430;45.606315042594076;9.124525301910289;2727
LISSONE;MONZA-BRIANZA;DECATHLON ITALIA SRL;Viale Valassina;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;50;2791;2841;45.60532361356376;9.229042289249373;3949
LISSONE;MONZA-BRIANZA;ESSELUNGA SPA;Via Giardino Angolo Via Valassina;SI;;2865;8007;10872;45.60001596072298;9.230640998897027;8915
LISSONE;MONZA-BRIANZA;LEROY MARLIN ITALIA SRL;Via Nuova Valassina, 57;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;9940;9940;45.59849932309794;9.23693468500666;3948
LISSONE;MONZA-BRIANZA;SAN GIORGIO DATA S.R.L.;Via Di Vittorio, 20;SI;;2499;1500;3999;45.62444973430544;9.242297712375063;13480
LISSONE;MONZA-BRIANZA;SILCO IMMOBILIARE SRL;Via Valassina,82;SI;;100;4014;4114;45.60001075339336;9.237097749358265;3956
MACHERIO;MONZA-BRIANZA;ESSELUNGA S.P.A.;Via Don Gnocchi;SI;;2733;1502;4235;45.6369105200637;9.266749778727574;8981
MONZA;MONZA-BRIANZA;AUTODEMOLIZIONI MAURO DI MAURO MARIO & C SNC;Via Della Novella 56;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;2900;2900;45.570188621469526;9.229361225419863;6458
MONZA;MONZA-BRIANZA;ESSELUNGA SPA;Via Brembo, 4/8;NO;;2069;1431;3500;45.56997996257341;9.247016084617302;6459
MONZA;MONZA-BRIANZA;IPER MONTEBELLO SPA;Via Della Guerina, 98;NO;;4875;2375;7250;45.58587887294715;9.31180524359457;6460
MONZA;MONZA-BRIANZA;LA RINASCENTE SPA;Via Lario 17;SI;;4818;11496;16314;45.59547989892577;9.245481541779819;9715
MONZA;MONZA-BRIANZA;LA RINASCENTE SRL;V. Italia, 41;NO;ABBIGLIAMENTO E SCARPE;30;3770;3800;45.58133550778929;9.27351916885202;6461
MUGGIO';MONZA-BRIANZA;CIENNE S.R.L.;Via Battisti/Della Giardina;NO;ABBIGLIAMENTO E SCARPE;0;2800;2800;45.59486842067903;9.241505978634146;12448
MUGGIO';MONZA-BRIANZA;COOP LOMBARDIA;Viale Repubblica;SI;;2000;1000;3000;45.59050350984675;9.215837836126271;8727
NOVA MILANESE;MONZA-BRIANZA;LEROY MERLIN UNO SPA;S.S. Milano Meda;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;7500;7500;45.589669955356605;9.174824218066561;5693
SEREGNO;MONZA-BRIANZA;EGE FIGLI DI DELL'ORTO SRL;Via G. Galilei, 45;NO;MOBILI E ACCESSORI CASE ARREDO;0;3100;3100;45.64818805533551;9.21461073962031;4525
SEREGNO;MONZA-BRIANZA;ESSELUNGA SPA;V.Le Repubblica Ang. Montello;NO;;2000;1300;3300;45.64778707140532;9.226564578557777;4516
USMATE VELATE;MONZA-BRIANZA;RIALTO SRL;Localita Cascina Corrada;SI;;2628;1955;4583;45.64080578690196;9.368238723048286;3808
VAREDO;MONZA-BRIANZA;ESSELUNGA S.P.A.;Via Circonvallazione Sp Ex Ss 527 Bis;NO;;2335;2470;4805;45.5944825347378;9.173755284677583;10895
VERANO BRIANZA;MONZA-BRIANZA;SATURN EX EMPORIO ANGIUONI;Via Furlanelli, 69;NO;MOBILI E ACCESSORI CASE ARREDO;0;5675;5675;45.69170880407886;9.220465917809946;4800
VILLASANTA;MONZA-BRIANZA;RIALTO SRL;Via Vecellio 1;SI;;3500;9840;13340;45.61909557978177;9.30801954152931;3020
VIMERCATE;MONZA-BRIANZA;GIAMBELLI S.P.A.;Via Torri Bianche N. 16;SI;;3000;5040;8040;45.60112167360874;9.358872782774919;9292
BUSNAGO;MONZA-BRIANZA;BEST BUY SRL;Via Italia 201/203;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;2000;2000;45.619562310667924;9.47812464357562;14236
BUSNAGO;MONZA-BRIANZA;LEROY MERLIN;Via Italia;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;5854;5854;45.62064967913386;9.471521958108493;12374
BUSNAGO;MONZA-BRIANZA;MERCURIO;Via Italia, 197;SI;;5736;29004;34740;45.62079161415101;9.473964825367005;4297
CAPONAGO;MONZA-BRIANZA;LEROY MERLIN ITALIA S.R.L;Via Galileo Galilei;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;5600;5600;45.56992126461066;9.368051641460147;9427
CORNATE D'ADDA;MONZA-BRIANZA;MERCURIO;Via Berlinguer 48;SI;;704;17698;18402;45.62170650692219;9.475997566990161;4132
LENTATE SUL SEVESO;MONZA-BRIANZA;BENNET SPA;Via Nazionale Dei Giovi 249;SI;;2783;6827;9610;45.680123256882304;9.112003728053494;1871
LENTATE SUL SEVESO;MONZA-BRIANZA;DIOTTI A &  F;Via Nazionale Dei Giovi 274;NO;MOBILI E ACCESSORI CASE ARREDO;0;3361;3361;45.682306771656485;9.11151734518631;1872
